-1.47, 15.59, -13.02, 33.43, -0.05, -5.74, -49.41, 27.43, -8.52, 6.27, -7.66, 5.83, -2.15, -1.08, -1.30, 8.42, 
-9.27, 10.53, 6.78, -2.70, 27.51, -38.82, -6.02, 3.27, 4.41, 3.35, 12.75, -17.33, -13.21, 12.69, 1.23, -3.58, 
-2.72, -3.21, -85.30, 144.96, -183.83, 149.13, -9.31, 3.31, -10.23, -8.89, 18.44, -7.52, -6.76, 15.27, -16.39, 2.88, 
0.06, 16.92, -16.48, 10.00, 45.32, -25.36, -30.10, -0.65, 11.54, -16.90, -3.78, 10.39, -1.08, 8.20, -7.72, 1.49, 
4.14, -4.26, -1.78, 49.65, -39.48, -13.19, 7.14, 10.64, -8.24, 4.32, -3.20, -15.26, 7.04, 5.42, -2.56, -1.50, 
-4.91, 18.03, -16.32, -40.99, 103.92, -41.05, -21.03, 12.94, 1.56, -8.87, -8.08, 0.87, 10.61, 1.83, -7.34, -1.25, 
-1.64, 4.52, 14.29, -124.67, 122.94, -13.38, 31.63, -15.69, -27.94, 16.91, -6.93, -9.40, 20.89, -16.34, 10.09, -0.70, 
-9.32, 8.58, 26.45, 7.67, -94.10, 67.54, -10.26, -6.24, 5.00, -12.35, 18.59, -7.29, 1.03, -5.12, 9.21, -12.36, 
13.92, -2.75, -51.34, 111.60, -54.10, -11.77, -3.22, 29.31, -8.91, -10.47, -6.99, 15.22, -13.57, 5.60, -9.00, 4.00, 
-13.57, 11.26, 8.24, -27.76, -13.50, 60.32, -69.77, 41.91, -5.90, -3.42, 12.70, -5.92, -11.47, 4.03, 6.80, 5.12, 
-4.61, -8.62, 9.95, 37.36, -116.79, 120.23, -113.28, 61.05, 25.61, -9.38, -2.49, -12.36, 6.21, 9.29, -9.78, 3.83, 
8.91, -8.70, 39.50, -36.97, -128.79, 163.13, -29.81, -13.80, 9.75, 1.04, -1.68, -12.84, 11.04, -7.26, 10.89, -5.34, 
-0.24, -4.17, -0.25, 32.49, 2.23, -118.43, 143.96, -111.67, 69.61, -7.54, -11.15, 7.28, 0.40, 6.23, -24.84, 38.76, 
-36.71, 17.36, 23.65, 20.46, -7.96, -12.92, -15.17, -14.44, 6.86, -10.09, 5.24, 1.87, 9.81, -18.96, 0.95, 15.33, 
-10.27, 11.31, -14.94, 17.91, 13.19, 12.79, -62.18, 27.03, -2.40, 2.72, -8.83, 9.57, -8.71, 7.46, -2.31, -4.36, 
1.02, 4.12, -19.59, 69.96, -15.84, -177.08, 192.25, -56.96, 10.71, -14.24, 15.48, -8.10, 5.11, -19.86, 16.19, -2.82, 
13.58, -16.55, 7.25, 27.86, -137.42, 168.19, -34.37, -46.60, 17.65, 4.58, 3.08, -11.52, 14.63, -18.49, 17.39, -8.44, 
7.17, -2.21, -3.97, 50.13, -23.23, -27.47, 9.33, -33.35, -4.30, 34.55, 3.64, -13.94, -4.15, 14.04, -11.60, 3.87, 
16.07, -13.59, -18.61, 50.12, -24.68, -105.12, 135.40, -16.33, -2.95, -22.82, 4.55, 10.95, -6.00, -1.09, 7.58, -7.40, 
0.67, 1.38, 27.95, 11.16, -131.70, 94.43, -28.55, 28.67, 1.14, -2.44, -0.96, -0.43, -0.38, 4.37, -6.57, 4.82, 
-9.66, 11.34, -36.81, 73.64, 33.08, -73.65, 1.43, 24.22, -26.04, 3.44, -7.93, 6.01, -8.83, 5.45, 1.89, 1.77, 
1.69, -5.57, 30.85, -50.73, -91.86, 126.16, -21.30, 12.37, -1.14, -2.76, -0.66, 16.23, -15.98, 5.71, -0.33, 0.04, 
-13.82, 18.12, -5.87, 37.57, -19.47, -50.08, 57.91, -30.33, -2.76, -1.82, 12.69, -1.55, -9.64, -1.71, 29.12, -10.91, 
-11.63, -9.29, 49.40, -55.24, 56.88, -17.44, -20.26, -5.26, -5.26, 6.43, -5.77, 8.10, 5.69, -2.38, -12.47, 7.63, 
3.70, 0.30, -4.74, -59.42, 114.62, -33.39, -17.63, -49.04, 62.55, -9.30, -9.18, 7.37, -6.94, -12.73, 19.32, 0.79,
